#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 07 13 50 999 11.4 13.8  3.40  8.33  6.67 999 1001.3   2.4   2.8 999.0 99.0 99.00
2010 01 07 14 50 999 12.3 14.1  3.46  9.09  6.74 999 1001.8   2.2   2.8 999.0 99.0 99.00
2010 01 07 15 50 999 10.7 12.9  3.41  9.09  6.62 999 1001.6   2.0   2.8 999.0 99.0 99.00
2010 01 07 16 50 999  9.4 11.5  3.31  9.09  6.67 999 1001.6   2.3   2.8 999.0 99.0 99.00
2010 01 07 17 50 999  9.0 10.9  3.04  9.09  6.40 999 1001.6   2.5   2.8 999.0 99.0 99.00
2010 01 07 18 50 999 10.9 12.9  3.04  8.33  6.19 999 1001.8   2.2   2.8 999.0 99.0 99.00
2010 01 07 19 50 999 11.9 13.9  2.88  7.69  5.83 999 1001.9   1.9   2.8 999.0 99.0 99.00
2010 01 07 20 50 999 11.6 13.3  3.01  8.33  5.83 999 1001.8   1.7   2.8 999.0 99.0 99.00
2010 01 07 21 50 999 11.3 13.5  2.93  9.09  5.90 999 1001.9   1.5   2.9 999.0 99.0 99.00
2010 01 07 22 50 999 11.4 13.5  2.56  8.33  5.51 999 1001.7   1.4   2.9 999.0 99.0 99.00
2010 01 07 23 50 999 10.5 13.2  2.87  9.09  5.94 999 1001.5   1.6   2.9 999.0 99.0 99.00
2010 01 08 00 50 999 11.4 13.9  2.78  9.09  6.00 999 1001.3   1.5   2.9 999.0 99.0 99.00
2010 01 08 01 50 999 10.3 11.8  2.60  8.33  5.96 999 1001.3   1.7   2.9 999.0 99.0 99.00
2010 01 08 02 50 999 10.6 11.8  2.66  8.33  6.15 999 1001.3   1.8   2.9 999.0 99.0 99.00
2010 01 08 03 50 999 11.7 13.4  2.58  9.09  5.90 999 1001.1   1.4   2.9 999.0 99.0 99.00
2010 01 08 04 50 999 11.3 13.7  2.57  9.09  5.84 999 1001.0   1.4   2.9 999.0 99.0 99.00
2010 01 08 05 50 999 10.1 12.3  2.58  9.09  5.85 999 1000.7   1.3   2.8 999.0 99.0 99.00
2010 01 08 06 50 999 10.0 12.7  2.62  8.33  5.73 999 1000.4   1.5   2.8 999.0 99.0 99.00
2010 01 08 07 50 999 10.1 12.0  2.76  9.09  5.99 999 1000.3   1.4   2.8 999.0 99.0 99.00
2010 01 08 08 50 999 10.3 12.2  2.57  8.33  5.86 999 1000.1   1.3   2.8 999.0 99.0 99.00
2010 01 08 09 50 999 10.1 11.8  2.68  9.09  6.07 999  999.8   0.8   2.8 999.0 99.0 99.00
2010 01 08 10 50 999 10.3 11.8  2.68  9.09  5.87 999  999.3   0.7   2.8 999.0 99.0 99.00
