YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
1999 01 08 00 999 99.0 99.0  4.51 10.00  7.41 999 1010.1   1.6   2.4 999.0 99.0
1999 01 08 01 999 99.0 99.0  4.61 10.00  7.47 999 1010.0   1.9   2.5 999.0 99.0
1999 01 08 02 999 99.0 99.0  4.75 10.00  7.34 999 1010.2   1.9   2.5 999.0 99.0
1999 01 08 03 999 99.0 99.0  5.29 10.00  7.59 999 1010.6   2.0   2.4 999.0 99.0
1999 01 08 04 999 99.0 99.0  5.25 11.11  7.68 999 1011.1   1.9   2.5 999.0 99.0
1999 01 08 05 999 99.0 99.0 99.00 99.00 99.00 999 1011.8   1.9   2.5 999.0 99.0
1999 01 08 06 999 99.0 99.0  6.30 11.11  8.19 999 1012.7   2.1   2.5 999.0 99.0
1999 01 08 07 999 99.0 99.0  5.90 11.11  8.03 999 1013.7   2.1   2.5 999.0 99.0
1999 01 08 08 999 99.0 99.0  6.20 12.50  8.40 999 1014.4   1.8   2.5 999.0 99.0
1999 01 08 09 999 99.0 99.0  6.55 12.50  8.47 999 1015.1   1.3   2.5 999.0 99.0
1999 01 08 10 999 99.0 99.0  7.02 12.50  9.15 999 1015.6   1.2   2.5 999.0 99.0
1999 01 08 11 999 99.0 99.0  7.04 12.50  9.21 999 1015.7    .9   2.5 999.0 99.0
1999 01 08 12 999 99.0 99.0  6.33 12.50  8.99 999 1016.1    .7   2.5 999.0 99.0
1999 01 08 13 999 99.0 99.0  5.96 11.11  8.55 999 1016.6    .5   2.5 999.0 99.0
1999 01 08 14 999 99.0 99.0  5.96 11.11  8.23 999 1016.9    .4   2.5 999.0 99.0
1999 01 08 15 999 99.0 99.0  5.94 11.11  8.34 999 1017.4    .2   2.5 999.0 99.0
1999 01 08 16 999 99.0 99.0  5.50 11.11  7.97 999 1017.1    .0   2.4 999.0 99.0
1999 01 08 17 999 99.0 99.0  5.14 11.11  7.84 999 1017.1   -.1   2.4 999.0 99.0
1999 01 08 18 999 99.0 99.0  5.06 11.11  7.71 999 1017.3   -.4   2.4 999.0 99.0
1999 01 08 19 999 99.0 99.0  5.57 11.11  7.98 999 1017.7   -.6   2.4 999.0 99.0
1999 01 08 20 999 99.0 99.0  4.84 11.11  7.61 999 1017.4   -.5   2.4 999.0 99.0
1999 01 08 21 999 99.0 99.0  5.19 12.50  8.20 999 1017.7   -.7   2.4 999.0 99.0
1999 01 08 22 999 99.0 99.0  5.05 11.11  8.04 999 1017.4   -.8   2.4 999.0 99.0
1999 01 08 23 999 99.0 99.0  5.23 11.11  8.02 999 1016.7  -1.1   2.4 999.0 99.0
1999 01 09 00 999 99.0 99.0  4.52 11.11  7.78 999 1016.6  -1.4   2.4 999.0 99.0
