YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 01 05 16 00 233 14.3 17.7  4.89 11.43  7.51 999 1032.1   3.1   2.9  -0.4 99.0 99.00
2005 01 05 17 00 226 15.1 18.1  5.01 11.43  7.72 999 1032.5   3.0   2.9  -0.3 99.0 99.00
2005 01 05 18 00 221 13.1 16.2  5.39 11.43  7.94 999 1033.7   3.1   2.9  -0.2 99.0 99.00
2005 01 05 19 00 215 14.4 17.4  4.93 12.12  7.96 999 1034.7   3.2   2.9  -0.3 99.0 99.00
2005 01 05 20 00 210 13.3 16.9  4.82 12.90  8.09 999 1035.4   3.4   2.9   0.0 99.0 99.00
2005 01 05 21 00 201 13.5 16.5  4.96 11.43  8.27 999 1036.1   3.5   2.9  -0.3 99.0 99.00
2005 01 05 22 00 203 15.4 19.7  4.99 12.90  8.51 999 1036.4   3.2   2.9  -0.5 99.0 99.00
2005 01 05 23 00 191 14.7 18.1  5.01 12.12  8.19 999 1036.6   3.2   2.9   0.1 99.0 99.00
2005 01 06 00 00 185 16.6 20.0  5.43 12.12  8.63 999 1036.5   3.0   2.9   0.0 99.0 99.00
2005 01 06 01 00 183 15.5 19.4  5.12 12.90  8.39 999 1036.1   3.0   2.9   0.3 99.0 99.00
2005 01 06 02 00 177 14.2 17.2  5.57 12.12  8.34 999 1035.5   3.3   2.9   0.7 99.0 99.00
2005 01 06 03 00 176 12.3 14.9  5.50 12.12  8.38 999 1035.3   3.3   2.9   1.0 99.0 99.00
2005 01 06 04 00 178 11.9 14.1  5.11 11.43  8.31 999 1035.7   3.2   2.9   1.1 99.0 99.00
2005 01 06 05 00 187 10.6 14.0  5.38 12.12  8.59 999 1036.1   3.1   2.9   1.2 99.0 99.00
2005 01 06 06 00 182 10.8 12.7  5.43 13.79  8.48 999 1036.3   3.0   2.9   1.4 99.0 99.00
2005 01 06 07 00 165 11.1 13.1  5.15 12.90  8.71 999 1036.8   3.0   2.9   1.2 99.0 99.00
2005 01 06 08 00 159 12.5 14.8  5.34 13.79  8.97 999 1036.8   2.7   2.9   1.0 99.0 99.00
2005 01 06 09 00 158 12.8 15.7  5.00 13.79  8.49 999 1036.8   2.6   2.9   0.8 99.0 99.00
2005 01 06 10 00 153 13.1 15.5  5.49 12.90  8.85 999 1036.4   2.8   2.9   1.0 99.0 99.00
2005 01 06 11 00 148 12.8 14.8  5.03 14.81  8.74 999 1036.2   2.9   2.9   1.1 99.0 99.00
2005 01 06 12 00 144 13.1 15.6  4.98 13.79  8.68 999 1035.6   2.9   2.9   1.3 99.0 99.00
2005 01 06 13 00 140 12.8 16.2  5.18 12.90  8.58 999 1034.6   3.0   2.9   1.3 99.0 99.00
2005 01 06 14 00 142 13.3 16.4  5.21 13.79  8.65 999 1033.8   3.1   2.9   0.9 99.0 99.00
2005 01 06 15 00 143 14.9 18.3  5.07 12.90  8.23 999 1032.7   3.3   2.9   0.8 99.0 99.00
2005 01 06 16 00 140 14.1 16.2  5.22 12.90  7.95 999 1031.9   3.4   2.9   0.9 99.0 99.00
2005 01 06 17 00 145 14.9 17.9  5.27 12.90  8.14 999 1031.4   3.6   2.9   0.6 99.0 99.00
2005 01 06 18 00 152 14.6 16.5  4.66 13.79  7.76 999 1031.1   3.7   2.9   0.6 99.0 99.00
2005 01 06 19 00 159 15.2 18.2  5.02 13.79  7.66 999 1030.7   3.7   2.9   0.8 99.0 99.00
2005 01 06 20 00 156 14.1 17.7  4.91 12.12  7.88 999 1031.0   3.6   2.9   1.4 99.0 99.00
2005 01 06 21 00 156 13.9 16.3  5.03 13.79  7.89 999 1030.8   3.6   2.9   1.7 99.0 99.00
2005 01 06 22 00 154 14.3 17.3  5.08 12.90  7.94 999 1031.0   3.6   2.9   2.0 99.0 99.00
2005 01 06 23 00 153 14.5 17.4  4.48 12.90  7.80 999 1031.4   3.5   2.9   2.2 99.0 99.00
2005 01 07 00 00 156 13.0 16.3  4.16  8.33  7.40 999 1030.9   3.5   2.9   2.1 99.0 99.00
2005 01 07 01 00 153 13.8 16.1  4.48  8.33  7.72 999 1030.6   3.7   2.9   1.9 99.0 99.00
2005 01 07 02 00 155 14.1 18.7  4.27  9.09  7.68 999 1030.6   3.7   2.9   2.0 99.0 99.00
