YYYY MM DD hh  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2004 01 08 22  21 15.5 18.3  4.33 10.00  7.19 999 1009.8  -1.4   3.4  -6.1 99.0 99.00
2004 01 08 23  20 14.6 17.8  3.92 10.00  6.77 999 1008.3  -1.4   3.4  -6.9 99.0 99.00
2004 01 09 00  15 14.7 17.4  4.02 10.00  6.91 999 1007.3  -1.4   3.5  -6.7 99.0 99.00
2004 01 09 01  20 15.1 18.2  4.29 10.81  6.88 999 1006.3  -1.7   3.4  -7.9 99.0 99.00
2004 01 09 02  16 15.9 20.2  4.38 10.81  7.22 999 1005.5  -2.3   3.4  -6.8 99.0 99.00
2004 01 09 03  13 17.3 20.8  4.93 10.81  7.50 999 1004.6  -2.3   3.4  -7.2 99.0 99.00
2004 01 09 04  15 15.8 18.6  5.20 10.81  7.62 999 1003.9  -2.9   3.4  -8.5 99.0 99.00
2004 01 09 05   2 15.3 18.7  5.43 10.81  7.86 999 1002.6  -2.6   3.4  -7.0 99.0 99.00
2004 01 09 06  28 19.3 23.5  5.40 11.43  7.86 999 1002.5  -4.3   3.4  -6.1 99.0 99.00
2004 01 09 07  14 19.2 23.2  5.70 10.81  7.89 999 1002.6  -4.7   3.4  -8.3 99.0 99.00
2004 01 09 08  16 14.2 17.9  5.90 10.81  8.10 999 1001.2  -5.8   3.4  -9.3 99.0 99.00
2004 01 09 09  19 15.8 19.5  6.47 12.12  8.58 999 1000.7  -5.0   3.4 -11.6 99.0 99.00
2004 01 09 10   5 14.2 18.9  5.69 12.12  8.22 999  999.9  -5.1   3.4 -10.6 99.0 99.00
2004 01 09 11   6 14.8 18.5  6.43 12.12  8.76 999  999.4  -5.8   3.4  -9.3 99.0 99.00
2004 01 09 12  13 16.1 20.9  6.49 12.90  8.66 999  998.9  -5.9   3.4  -9.6 99.0 99.00
2004 01 09 13   4 16.9 20.6  5.56 12.12  8.27 999  998.1  -5.8   3.4  -9.9 99.0 99.00
