YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
96 01 09 22 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 09 23 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 10 00  15  3.6  5.6  1.35  7.14  5.63 999 1025.5  -1.2   3.3 999.0 99.0
96 01 10 01 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 10 02 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 10 03  36  4.6  6.3  1.37  6.67  5.63 999 1024.5  -1.3   3.3 999.0 99.0
96 01 10 04 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 10 05 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 10 06  12  3.3  5.6  1.25  6.67  5.57 999 1024.3  -1.6   3.3 999.0 99.0
96 01 10 07 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 10 08 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 10 09  23  6.0  7.4  1.17  6.67  5.12 999 1024.2  -2.5   3.2 999.0 99.0
96 01 10 10 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 10 11 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 10 12 346  2.7  4.5   .95  6.25  5.28 999 1023.7  -1.1   3.3 999.0 99.0
96 01 10 13 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 10 14 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 10 15  22  2.4  4.3   .93  5.88  5.40 999 1022.8   -.8   3.2 999.0 99.0
96 01 10 16 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 10 17 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 10 18 311  3.9  5.1   .88  5.88  5.62 999 1022.2  -1.0   3.2 999.0 99.0
96 01 10 19 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 10 20 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 10 21 310   .2   .8   .76 11.11  5.95 999 1022.5  -1.3   3.2 999.0 99.0
96 01 10 22 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 10 23 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 11 00 318  2.8  4.3   .77 12.50  6.06 999 1022.4   -.6   3.2 999.0 99.0
96 01 11 01 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 11 02 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 11 03 266  2.6  3.7   .77 11.11  5.79 999 1021.8   -.8   3.2 999.0 99.0
96 01 11 04 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 11 05 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 11 06 309   .6  1.5   .73 11.11  5.63 999 1022.2  -1.5   3.2 999.0 99.0
96 01 11 07 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 11 08 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 11 09 236  1.7  2.9   .66 12.50  5.95 999 1022.6  -1.2   3.2 999.0 99.0
96 01 11 10 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 11 11 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 11 12 273  2.3  3.5   .67 14.29  6.66 999 1022.5   -.9   3.2 999.0 99.0
96 01 11 13 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 11 14 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 11 15 217  1.6  2.7   .75 14.29  7.06 999 1022.1  -1.2   3.2 999.0 99.0
96 01 11 16 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 11 17 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 11 18 265   .7  1.5   .83 14.29  7.29 999 1021.6  -1.2   3.2 999.0 99.0
96 01 11 19 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
