"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"193","RT @Saidamar: I<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>COULD<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>NOT<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>MISS<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>THIS<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>ONE #BEYCHELLA #Coachella https://t.co/sSdffcqSz5",FALSE,0,NA,2018-05-06 19:25:37,FALSE,NA,"993210190894911495",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GucciBuzzke",21415,TRUE,FALSE,NA,NA
"194","RT @xStaciox: So I did a thing today #Beychella #Coachella https://t.co/LKOYt1o3Ki",FALSE,0,NA,2018-05-06 19:25:06,FALSE,NA,"993210063941701632",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_Nolwazi_",37,TRUE,FALSE,NA,NA
"195","RT @Saidamar: I<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>COULD<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>NOT<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>MISS<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>THIS<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>ONE #BEYCHELLA #Coachella https://t.co/sSdffcqSz5",FALSE,0,NA,2018-05-06 19:24:22,FALSE,NA,"993209877307822080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","stingxrae",21415,TRUE,FALSE,NA,NA
"196","RT @KenyaMiIan: Wrapped In Designer'

Palm Springs, CA

#COACHELLA #Money https://t.co/nnCVkneheD",FALSE,0,NA,2018-05-06 19:23:44,FALSE,NA,"993209717731274753",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","zaquvn",110,TRUE,FALSE,NA,NA
"197","RT @LiveJasmin: An extra petite package with more sass and class than you can manage, #DaizyClassyGirl will rock your world!

#livejasmin #…",FALSE,0,NA,2018-05-06 19:22:56,FALSE,NA,"993209518040510464",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Dragon4camgirlz",4,TRUE,FALSE,NA,NA
"198","RT @Tesla_Token: 2 more investors then we will announce the winners

2 out of the next 5 investors gets 1000000 TLS
And  The highest invest…",FALSE,0,NA,2018-05-06 19:15:57,FALSE,NA,"993207760706777095",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Iyanulago",228,TRUE,FALSE,NA,NA
"199","RT @MikeWallLive: Let me guess... today is gardening day. Leave the social media to the punks and pros. #FuckCoachella #CoachellaRules #Coa…",FALSE,0,NA,2018-05-06 19:15:21,FALSE,NA,"993207606876561410",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Raf_Three",1,TRUE,FALSE,NA,NA
"200","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",FALSE,0,NA,2018-05-06 19:13:46,FALSE,NA,"993207209478754304",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","exclamationharp",131,TRUE,FALSE,NA,NA
"201","RT @Keith_McPherson: <ed><U+00A0><U+00BE><ed><U+00B7><U+009F><U+200D><U+2642><U+FE0F>“Bounce” - @flatbushzombies @meechisdead @ZOMBIEJuicee @coachella #flatbushzombies #fbz #zombiegang #day2 #flatbus…",FALSE,0,NA,2018-05-06 19:11:58,FALSE,NA,"993206755780947969",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ewatson_584",1504,TRUE,FALSE,NA,NA
"202","Nico's Promise Fashion Show!
#neptunes #southflorida #southbeach #vacations #bali #coachella #weekends… https://t.co/cP2xBpiQuU",FALSE,0,NA,2018-05-06 19:09:31,TRUE,NA,"993206139352436738",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","neptuneskidsswi",0,FALSE,FALSE,NA,NA
