"","screenName","text","retweetCount","favoriteCount","score","absolute_score","lon","lat"
"74","boliviancocktai","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",130,0,0,0,NA,NA
"75","boozernippy","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",130,0,0,0,NA,NA
"76","boyckelospoi191","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",130,0,0,0,105.318756,61.52401
"77","BrandonEedy","RT @londonmusichall: Fresh off #Coachella2018.. don't miss @ThisIsPVRIS  tonight in #LdnOnt, with @slenderbodies &amp; @cherrypools. Tickets av…",3,0,0,0,-81.2452768,42.9849233
"78","BravoOptica","RT @PolaroidSun: The new PLD 6038/S/X interpreted by @karadeltoro. #Thanks #PolaroidEyewear #Coachella #Coachella2018 #Festival #California…",4,0,0,0,105.318756,61.52401
"79","BrianVa86210880","RT @ysbnow: Get #Coachella2018-inspired @claires style ideas from stars like @LaurenOrlando, @emilyskinnerr_ &amp; more of your faves: https://…",2,0,1,1,-75.058009,39.9562052
"80","BubbloApp","So we brought you pics from the Coachella house, but have you seen the video!?

Take a look at exactly how amazing… https://t.co/XPoRZixh9G",2,4,1,1,-0.1277583,51.5073509
"81","Cannabistical","What Would Shirju Do? April 13, 2018 - https://t.co/w63f7nMXyE #6lack #AboveGround #AceHotel #BigKRITCyThePrince… https://t.co/nIj3PssImQ",0,0,0,0,-95.712891,37.09024
"82","CarlosLxLx2","RT @babycakesromero: Soulwax light up California: (plse click on link to see full gallery)

https://t.co/KGYrnRx2fD

@soulwax #soulwax #Coa…",6,0,0,0,NA,NA
"83","carlsonsd2007","Just a little less then a year ago saw Khalid at @MarymoorConcert  then just saw him come with @sza and @6LACK duri… https://t.co/J9NsjSjX90",2,2,0,0,NA,NA
"84","CashMoneyHQ","RT @LilWayneHQ: During #Coachella2018, @PostMalone met @LilTunechi for the very first time: https://t.co/906uQu3uYM",2,0,0,0,NA,NA
"85","catchinsulin","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",130,0,0,0,NA,NA
"86","chanthisa_","RT @carsonlueders: Already missing @coachella <U+2600><U+FE0F><ed><U+00A0><U+00BC><ed><U+00BC><U+00B4>What a crazy fun weekend! <ed><U+00A0><U+00BC><ed><U+00BE><U+00B5><ed><U+00A0><U+00BD><ed><U+00B8><U+008E>#Coachella2018 https://t.co/gaZhA1JzND",191,0,0,0,100.992541,15.870032
"87","chanthisa_","RT @carsonlueders: Day 2 @coachella another awesome day in the books <U+2600><U+FE0F> #coachella #coachella2018 https://t.co/wvAdliQL6R",171,0,1,1,100.992541,15.870032
"88","CHariHaran5","RT @NayantharaU: #Coachella2018 #StageCoach 
<ed><U+00A0><U+00BC><ed><U+00BC><U+009F> <ed><U+00A0><U+00BD><ed><U+00B2><U+00AB> great moments ! #VikkyNayan https://t.co/f5ttGG92f7",618,0,1,1,78.7046725,10.7904833
"89","chartoccultatio","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",130,0,0,0,NA,NA
"90","CharvakaGanesh","RT @NayantharaU: #Coachella2018 #StageCoach 
<ed><U+00A0><U+00BC><ed><U+00BC><U+009F> <ed><U+00A0><U+00BD><ed><U+00B2><U+00AB> great moments ! #VikkyNayan https://t.co/f5ttGG92f7",618,0,1,1,NA,NA
"91","chatonlinegirl","RT @PokoraFRANCE: <ed><U+00A0><U+00BD><ed><U+00B3><U+00B8> Coachella Day 3 <ed><U+00A0><U+00BC><ed><U+00BC><U+00B8>
#coachella #coachella2018 #friends #family https://t.co/3KA8x3f7vQ",55,0,0,0,-95.712891,37.09024
